DroneID, Day, RestingTime (s), Charging time (s), Maintainance Cost ($), Energy Cost ($)
37,Day 1,0,0,0,0
36,Day 1,0,0,0,0
35,Day 1,0,0,0,0
34,Day 1,0,0,0,0
33,Day 1,0,0,0,0
32,Day 1,0,0,0,0
31,Day 1,0,0,0,0
29,Day 1,0,0,0,0
28,Day 1,0,0,0,0
30,Day 1,7863,5638,6.34472,8.1995e+06
1,Day 1,12346,294,2.63111,154745
26,Day 1,2662,7582,0,4.24021e+06
25,Day 1,7916,3993,0,1.95327e+06
10,Day 1,1515,1380,0,424558
7,Day 1,3262,348,0.405556,84617
19,Day 1,6389,3879,0.438889,2.28254e+06
6,Day 1,4176,4711,5.44722,2.89165e+06
18,Day 1,7002,3363,0,1.8675e+06
5,Day 1,1141,5969,34.5139,3.90031e+06
3,Day 1,12765,253,4.2875,100919
2,Day 1,3228,1541,22.4394,806218
27,Day 1,9846,3325,0,3.94112e+06
0,Day 1,0,0,0,0
4,Day 1,0,0,0,0
8,Day 1,0,0,0,0
9,Day 1,0,0,0,0
11,Day 1,0,0,0,0
12,Day 1,0,0,0,0
13,Day 1,0,0,0,0
14,Day 1,0,0,0,0
15,Day 1,0,0,0,0
16,Day 1,0,0,0,0
17,Day 1,0,0,0,0
20,Day 1,0,0,0,0
21,Day 1,0,0,0,0
22,Day 1,0,0,0,0
23,Day 1,0,0,0,0
24,Day 1,0,0,0,0
